Reference source,Reference metadata,Location,Group/Formation,Lithology,Metamorphic grade,Age Range (Ga),Age (Ga),"Sample name, or # of samples",TOC(±s),d13C
Schopf and Klein 1992,Bane86,,Aravalli Supergroup,carbonate,,,2.35,n/a,1.6,-14.7
Schopf and Klein 1992,Bane86,,Aravalli Supergroup,carbonate,,,2.35,n/a,1.5,-15.9
Schopf and Klein 1992,Bane86,,Aravalli Supergroup,carbonate,,,2.35,n/a,1.9,-13.7
Schopf and Klein 1992,Bane86,,Aravalli Supergroup,carbonate,,,2.35,n/a,3.2,-14.1
Schopf and Klein 1992,Bane86,,Aravalli Supergroup,carbonate,,,2.35,n/a,2.8,-13.2
Schopf and Klein 1992,Bane86,,Aravalli Supergroup,carbonate,,,2.35,n/a,2.3,-14.5
Schopf and Klein 1992,Bane86,,Aravalli Supergroup,carbonate,,,2.35,n/a,1.3,-13.9
Schopf and Klein 1992,Bane86,,Aravalli Supergroup,carbonate,,,2.35,n/a,2.4,-21.8
Schopf and Klein 1992,Bane86,,Aravalli Supergroup,carbonate,,,2.35,n/a,4.5,-11.4
Schopf and Klein 1992,,,Aravalli Supergroup,carbonate,,,2.35,n/a,0.9,-17.6
Schopf and Klein 1992,,,Lomagundi Group,shale,,,2.35,n/a,,-23.7
Schopf and Klein 1992,,,Lomagundi Group,shale,,,2.35,n/a,,-24.1
Schopf and Klein 1992,Schid76,,Batatal Formation,shale,,,2.4,n/a,,-24.2
Schopf and Klein 1992,Schid76,,Batatal Formation,shale,,,2.4,n/a,,-24.6
Schopf and Klein 1992,Klei87,,Gamohaan Formation,carbonate,,,2.45,n/a,3,-36.1
Schopf and Klein 1992,Klei87,,Gamohaan Formation,chert,,,2.45,n/a,9.6,-37.4
Schopf and Klein 1992,Oehl 721246,,Keewatin Group,chert,,,2.5,n/a,,-23.2
Schopf and Klein 1992,Scho81,,Keewatin Group,shale,,,2.5,n/a,,-25.9
Schopf and Klein 1992,Scho81,,Keewatin Group,shale,,,2.5,n/a,,-22.5
Schopf and Klein 1992,Scho81,,Keewatin Group,shale,,,2.5,n/a,,-26.9
Schopf and Klein 1992,Scho81,,Keewatin Group,shale,,,2.5,n/a,,-24.6
Schopf and Klein 1992,Scho81,,Keewatin Group,shale,,,2.5,n/a,,-21
Schopf and Klein 1992,Scho81,,Keewatin Group,shale,,,2.5,n/a,,-25.5
Schopf and Klein 1992,Scho81,,Keewatin Group,shale,,,2.5,n/a,,-35.5
Schopf and Klein 1992,Scho81,,Keewatin Group,shale,,,2.5,n/a,,-38.3
Schopf and Klein 1992,Scho81,,Keewatin Group,shale,,,2.5,n/a,,-43.8
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,5,-36.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,14,-40.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,12,-40.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,6,-41
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,14,-43.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,14,-43.7
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,74,-42.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,125,-44.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,125,-44.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,56,-44.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,65,-44.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,49,-44.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,138,-44.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,127,-44.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,146,-44.8
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,31,-42.9
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,34,-41.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,6,-41.7
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,2,-37.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,3,-33.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,5,-34.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,93,-37.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,42,-39
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,146,-40.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,70,-40
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,86,-41.9
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,16,-38.8
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,76,-41.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,36,-40.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,60,-41.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,21,-39.8
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,80,-42.7
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,54,-41
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,129,-42.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,4,-37.9
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,5,-24.7
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,68,-38
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,57,-34.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,104,-35
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,80,-32.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,19,-25.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,52,-25.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,1,-18.9
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,2,-20.8
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,3,-18.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,28,-18.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,7,-18.7
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,20,-24.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,124,-31.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,2,-21.7
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,5,-20.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,8,-20.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,11,-20
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,7,-22.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,13,-21.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,6,-23.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,21,-21.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,9,-22.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,9,-21.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,11,-21.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,38,-21.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,13,-20.9
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,15,-21.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,8,-21.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,11,-20
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,7,-22.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,13,-21.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,6,-23.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,21,-21.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,9,-22.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,9,-21.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,11,-21.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,38,-21.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,13,-20.9
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,15,-21.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,12,-21.8
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,15,-21.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,8,-21.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,26,-20.8
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,60,-21.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,7,-20.8
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,2,-27
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,2,-31
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,30,-33.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,51,-34.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,41,-33.9
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,42,-34.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,62,-34.8
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,47,-34.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,51,-35.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,103,-35.8
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,8,-35.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,46,-35.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,52,-35.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,11,-34.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,15,-34.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,20,-34.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,14,-33.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,78,-34.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,80,-33.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,66,-33.7
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,28,-32.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,58,-34.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,29,-32
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,47,-33.7
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,57,-34.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,41,-34.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,64,-33.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,27,-32.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,3,-38.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,7,-41.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,81,-46.8
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,3,-41.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,32,-44.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,54,-44.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,15,-43.7
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,7,-43.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,4,-40.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,1,-33.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,1,-24.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,5,-28.8
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,2,-23.7
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,20,-27.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,19,-29.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,20,-29
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,9,-29.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,22,-29.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,3,-30.7
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,9,-29.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,14,-29.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,4,-28.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,22,-30.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,35,-27.8
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,22,-33
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,14,-31.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,13,-33
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,33,-33.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,24,-33.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,24,-32.9
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,32,-32.8
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,18,-32.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,1,-23.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,1,-24.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,6,-15.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,7,-15.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,6,-15.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,1,-21.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,6,-16.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,1,-23.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,8,-24.8
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,13,-24.7
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,11,-24.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,12,-24.9
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,4,-24.7
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,4,-25
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,2,-25.7
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,5,-25.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,18,-24.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,26,-24.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,7,-24.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,7,-24.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,6,-18.9
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,8,-18.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,11,-18.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,12,-18.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,15,-18.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,45,-18
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,20,-19.8
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,8,-23.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,17,-23.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,8,-23.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,2,-24.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,36,-19.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,23,-21
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,22,-22.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,45,-21.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,22,-21.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,5,-19
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,6,-18.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,18,-22.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,28,-21.2
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,11,-22
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,66,-28.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,24,-21.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,3,-23.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,13,-19.4
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,13,-21
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,42,-20.5
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,8,-19.7
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,23,-18.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,10,-19.9
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,9,-21.1
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,5,-22
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,9,-21.3
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,16,-20.6
Schopf and Klein 1992,Stra86,,Keewatin Group,shale,,,2.5,n/a,6,-21.8
Schopf and Klein 1992,Oehl 721246,,Keewatin Group,shale,,,2.5,n/a,,-29
Schopf and Klein 1992,Oehl 721246,,Keewatin Group,shale,,,2.5,n/a,,-31.2
Schopf and Klein 1992,Oehl 721246,,Keewatin Group,shale,,,2.5,n/a,,-30.2
Schopf and Klein 1992,Oehl 721246,,Brockman Iron Fm,shale,,,2.5,n/a,,-33.4
Schopf and Klein 1992,Oehl 721246,,Brockman Iron Fm,shale,,,2.5,n/a,,-29.3
Schopf and Klein 1992,Oehl 721246,,Bulawayan Group,shale,,,2.6,n/a,,-33.5
Schopf and Klein 1992,Oehl 721246,,Bulawayan Group,carbonate,,,2.6,n/a,,-32.1
Schopf and Klein 1992,Oehl 721246,,Bulawayan Group,carbonate,,,2.6,n/a,,-32.5
Schopf and Klein 1992,Oehl 721246,,Bulawayan Group,chert,,,2.6,n/a,,-31.8
Schopf and Klein 1992,eich75,,Bulawayan Group,carbonate,,,2.6,n/a,,-26.9
Schopf and Klein 1992,eich75,,Bulawayan Group,carbonate,,,2.6,n/a,,-30.2
Schopf and Klein 1992,eich75,,Bulawayan Group,carbonate,,,2.6,n/a,,-28.6
Schopf and Klein 1992,eich75,,Bulawayan Group,carbonate,,,2.6,n/a,,-31.3
Schopf and Klein 1992,eich75,,Bulawayan Group,carbonate,,,2.6,n/a,,-30.6
Schopf and Klein 1992,eich75,,Bulawayan Group,carbonate,,,2.6,n/a,,-33.5
Schopf and Klein 1992,eich75,,Bulawayan Group,carbonate,,,2.6,n/a,,-27.4
Schopf and Klein 1992,eich75,,Bulawayan Group,carbonate,,,2.6,n/a,,-29
Schopf and Klein 1992,eich75,,Bulawayan Group,carbonate,,,2.6,n/a,,-15.9
Schopf and Klein 1992,eich75,,Bulawayan Group,shale,,,2.6,n/a,,-39.3
Schopf and Klein 1992,hoer62,,Bulawayan Group,carbonate,,,2.6,n/a,,-28.1
Schopf and Klein 1992,scho71,,Bulawayan Group,carbonate,,,2.6,n/a,,-33.5
Schopf and Klein 1992,scho71,,Bulawayan Group,carbonate,,,2.6,n/a,,-32.5
Schopf and Klein 1992,scho71,,Bulawayan Group,carbonate,,,2.6,n/a,,-32.1
Schopf and Klein 1992,scho71,,Bulawayan Group,carbonate,,,2.6,n/a,,-31.8
Schopf and Klein 1992,scho71,,Bulawayan Group,carbonate,,,2.6,n/a,,-30.5
Schopf and Klein 1992,hoer67,,Jeerinah Fm,shale,,,2.65,n/a,,-35.4
Schopf and Klein 1992,hoer67,,Soudan Iron Fm,shale,,,2.65,n/a,,-33.7
Schopf and Klein 1992,hoer67,,Ventersdorp Supergroup,shale,,,2.65,n/a,,-35.8
Schopf and Klein 1992,Hoer67,,Witwatersrand Supergroup,shale,,,2.71,n/a,,-34.2
Schopf and Klein 1992,hoef671096,,Witwatersrand Supergroup,shale,,,2.71,n/a,,-21.4
Schopf and Klein 1992,hoef671096,,Witwatersrand Supergroup,shale,,,2.71,n/a,,-21.9
Schopf and Klein 1992,hoef671096,,Witwatersrand Supergroup,shale,,,2.71,n/a,,-26.1
Schopf and Klein 1992,hoef671096,,Witwatersrand Supergroup,shale,,,2.71,n/a,,-29.3
Schopf and Klein 1992,hoef671096,,Witwatersrand Supergroup,shale,,,2.71,n/a,,-29.5
Schopf and Klein 1992,hoef671096,,Witwatersrand Supergroup,shale,,,2.71,n/a,,-29.9
Schopf and Klein 1992,hoef671096,,Witwatersrand Supergroup,shale,,,2.71,n/a,,-31.8
Schopf and Klein 1992,abel85,,Cheshire Fm,carbonate,,,2.75,n/a,,-30
Schopf and Klein 1992,abel85,,Cheshire Fm,carbonate,,,2.75,n/a,,-30.6
Schopf and Klein 1992,abel85,,Cheshire Fm,carbonate,,,2.75,n/a,,-31.2
Schopf and Klein 1992,abel85,,Cheshire Fm,carbonate,,,2.75,n/a,,-32
Schopf and Klein 1992,abel85,,Cheshire Fm,carbonate,,,2.75,n/a,,-31.2
Schopf and Klein 1992,abel85,,Cheshire Fm,carbonate,,,2.75,n/a,,-32.8
Schopf and Klein 1992,abel85,,Cheshire Fm,carbonate,,,2.75,n/a,,-31
Schopf and Klein 1992,abel85,,Cheshire Fm,carbonate,,,2.75,n/a,,-31.3
Schopf and Klein 1992,abel85,,Cheshire Fm,carbonate,,,2.75,n/a,,-31.2
Schopf and Klein 1992,abel85,,Cheshire Fm,carbonate,,,2.75,n/a,,-29
Schopf and Klein 1992,abel85,,Cheshire Fm,carbonate,,,2.75,n/a,,-27.2
Schopf and Klein 1992,thod83,,"Late Archean BIF, Ontario",BIF,,,2.75,n/a,,-28.1
Schopf and Klein 1992,thod83,,"Late Archean BIF, Ontario",BIF,,,2.75,n/a,,-14.4
Schopf and Klein 1992,thod83,,"Late Archean BIF, Ontario",BIF,,,2.75,n/a,,-25.7
Schopf and Klein 1992,thod83,,"Late Archean BIF, Ontario",BIF,,,2.75,n/a,,-28.5
Schopf and Klein 1992,thod83,,"Late Archean BIF, Ontario",BIF,,,2.75,n/a,,-28.2
Schopf and Klein 1992,thod83,,"Late Archean BIF, Ontario",BIF,,,2.75,n/a,,-33.5
Schopf and Klein 1992,thod83,,"Late Archean BIF, Ontario",BIF,,,2.75,n/a,,-23.7
Schopf and Klein 1992,thod83,,"Late Archean BIF, Ontario",BIF,,,2.75,n/a,,-24.3
Schopf and Klein 1992,good76,,"Late Archean BIF, Ontario",BIF,,,2.75,n/a,,-26
Schopf and Klein 1992,good76,,"Late Archean BIF, Ontario",BIF,,,2.75,n/a,,-20.4
Schopf and Klein 1992,good76,,"Late Archean BIF, Ontario",BIF,,,2.75,n/a,,-26.1
Schopf and Klein 1992,good76,,"Late Archean BIF, Ontario",BIF,,,2.75,n/a,,-27.7
Schopf and Klein 1992,good76,,"Late Archean BIF, Ontario",BIF,,,2.75,n/a,,-26.6
Schopf and Klein 1992,Oehl 721246,,Fortescue Group,chert,,,2.8,n/a,,-28.4
Schopf and Klein 1992,Oehl 721246,,Fortescue Group,chert,,,2.8,n/a,,-40.8
Schopf and Klein 1992,schi76,,Nova Lima Group,shale,,,2.8,n/a,,-27
Schopf and Klein 1992,schi76,,Nova Lima Group,shale,,,2.8,n/a,,-25.8
Schopf and Klein 1992,schi76,,Nova Lima Group,shale,,,2.8,n/a,,-27.3
Schopf and Klein 1992,schi76,,Nova Lima Group,shale,,,2.8,n/a,,-27.2
Schopf and Klein 1992,schi76,,Nova Lima Group,shale,,,2.8,n/a,,-27
Schopf and Klein 1992,schi76,,Nova Lima Group,shale,,,2.8,n/a,,-20.4
Schopf and Klein 1992,schi76,,Nova Lima Group,shale,,,2.8,n/a,,-27.6
Schopf and Klein 1992,schi76,,Nova Lima Group,shale,,,2.8,n/a,,-26.6
Schopf and Klein 1992,schi76,,Nova Lima Group,shale,,,2.8,n/a,,-22.2
Schopf and Klein 1992,schi76,,Nova Lima Group,shale,,,2.8,n/a,,-25.2
Schopf and Klein 1992,eich75,,Limpopo Belt,carbonate,,,3,n/a,,-16.2
Schopf and Klein 1992,Oehl 721246,,Kromberg Fm,chert,,,3.3,n/a,,-33
Schopf and Klein 1992,Oehl 721246,,Kromberg Fm,chert,,,3.3,n/a,,-27.5
Schopf and Klein 1992,Oehl 721246,,Kromberg Fm,chert,,,3.3,n/a,,-30.6
